type_II_percent
B18	0.602179836512262
B14	0.552325581395349
B5	0.541666666666667
B11	0.537313432835821
B10	0.521518987341772
B4	0.474043715846995
B17	0.459090909090909
B6	0.433673469387755
B16	0.426829268292683
B7	0.406876790830946
B36	0.406698564593301
B37	0.368686868686869
B15	0.345679012345679
B29	0.336206896551724
B33	0.32967032967033
B39	0.325842696629214
B38	0.30952380952381
B32	0.303411131059246
B35	0.300970873786408
B30	0.29951690821256
B13	0.299003322259136
B34	0.290393013100437
B40	0.284210526315789
B41	0.266233766233766
B28	0.253787878787879
B8	0.246719160104987
B9	0.245098039215686
B31	0.215530903328051
B12	0.213483146067416
B27	0.197132616487455
B25	0.195121951219512
B26	0.173728813559322
B3	0.170731707317073
B1	0.159763313609467
B23	0.134328358208955
B19	0.133333333333333
B2	0.132075471698113
B24	0.127450980392157
B21	0.122047244094488
B20	0.0873015873015873
B22	0.0333333333333333
