type_I_percent
B10	0.726582278481013
B14	0.715116279069767
B18	0.678474114441417
B36	0.665071770334928
B5	0.638888888888889
B4	0.620218579234973
B6	0.602040816326531
B11	0.58955223880597
B7	0.587392550143267
B37	0.585858585858586
B17	0.581818181818182
B41	0.577922077922078
B40	0.568421052631579
B33	0.554945054945055
B32	0.531418312387792
B35	0.529126213592233
B15	0.518518518518518
B39	0.51685393258427
B27	0.512544802867383
B16	0.51219512195122
B38	0.511904761904762
B34	0.493449781659389
B30	0.454106280193237
B13	0.448504983388704
B24	0.441176470588235
B31	0.440570522979398
B29	0.439655172413793
B20	0.428571428571429
B21	0.421259842519685
B28	0.420454545454545
B25	0.40650406504065
B19	0.383333333333333
B26	0.38135593220339
B8	0.380577427821522
B9	0.379901960784314
B12	0.359550561797753
B2	0.358490566037736
B3	0.304878048780488
B1	0.301775147928994
B23	0.283582089552239
B22	0.233333333333333
