"padj" "direction"
"Bsg" 2.00132570775683e-05 "Upregulated"
"Mvb12a" 2.02812555655775e-05 "Downregulated"
"Tab3" 2.07840012069389e-05 "Upregulated"
"Gm56663" 2.10326175359687e-05 "Downregulated"
"Gm60046" 2.11597264773061e-05 "Upregulated"
"Mfsd12" 2.14965397582603e-05 "Downregulated"
"Cox6c" 2.14965397582603e-05 "Upregulated"
"Slc25a23" 2.16034640197557e-05 "Upregulated"
"Nudt4" 2.19554564775937e-05 "Upregulated"
"Sp140l1" 2.23776875152426e-05 "Downregulated"
"Pck1" 2.3298019519136e-05 "Upregulated"
"Ell2" 2.36994770328006e-05 "Upregulated"
"Arhgef4" 2.41421002914222e-05 "Upregulated"
"Dpf3" 2.41421002914222e-05 "Upregulated"
"Pkib" 2.46261389138632e-05 "Downregulated"
"Adgrg3" 2.51032154340221e-05 "Upregulated"
"Eif3d" 2.5441149036835e-05 "Downregulated"
"Mtrf1" 2.66099794198203e-05 "Downregulated"
"Plekhg3" 2.7457480628659e-05 "Upregulated"
"Ermap" 2.77907818501664e-05 "Upregulated"
"Irf6" 2.84661720666833e-05 "Upregulated"
"Zfp521" 2.85044308915572e-05 "Upregulated"
"Slc30a9" 2.87866002926485e-05 "Upregulated"
"Gm37539" 2.88180948194891e-05 "Upregulated"
"Ttc28" 2.93946261174551e-05 "Upregulated"
"Gsdmd" 2.93946261174551e-05 "Downregulated"
"Mapk3" 2.94503239721699e-05 "Upregulated"
"2310022A10Rik" 2.94503239721699e-05 "Downregulated"
"Gm14966" 2.94503239721699e-05 "Upregulated"
"Pde8b" 2.95519566686815e-05 "Downregulated"
"Gm1968" 3.04040283518687e-05 "Upregulated"
"Gm74048" 3.13884154316282e-05 "Upregulated"
"Gm15706" 3.15535855214516e-05 "Upregulated"
"Alyref" 3.16885331783293e-05 "Downregulated"
"Atp6v0d2" 3.17772471362298e-05 "Upregulated"
"Poglut1" 3.19578517606692e-05 "Downregulated"
"Gimap7" 3.21274164467236e-05 "Downregulated"
"Hk3" 3.24404070631107e-05 "Downregulated"
"Or2v1" 3.25173361826126e-05 "Downregulated"
"Ndufab1" 3.25985482904279e-05 "Downregulated"
"Gm41750" 3.25985482904279e-05 "Upregulated"
"Bltp3a" 3.29654635333e-05 "Downregulated"
"Stard3nl" 3.32241880993404e-05 "Downregulated"
"Ubac1" 3.34014540497765e-05 "Upregulated"
"Trim21" 3.37781998922684e-05 "Downregulated"
"Gm63353" 3.38812765266627e-05 "Upregulated"
"5033425G24Rik" 3.42225618260614e-05 "Upregulated"
"Strc" 3.42391549581005e-05 "Downregulated"
"Akap7" 3.4752853610426e-05 "Upregulated"
"Vcl" 3.4752853610426e-05 "Upregulated"
"Stx1b" 3.5619917140755e-05 "Downregulated"
"Gm57132" 3.56398595550824e-05 "Upregulated"
"Lama5" 3.59576147377396e-05 "Upregulated"
"Gm74486" 3.59653339582305e-05 "Upregulated"
"Gm32281" 3.62683118075135e-05 "Upregulated"
"Dnajc11" 3.66374226683555e-05 "Downregulated"
"Rasgef1b" 3.78943437325284e-05 "Downregulated"
"Gm32051" 3.85707458475546e-05 "Upregulated"
"Cd59a" 3.87937018705434e-05 "Upregulated"
"Gm2810" 3.96923111974494e-05 "Upregulated"
"Coq2" 3.96923111974494e-05 "Downregulated"
"Gm6254" 3.96923111974494e-05 "Downregulated"
"Pnpt1" 3.97168341602644e-05 "Downregulated"
"Cnr2" 4.18717539545477e-05 "Upregulated"
"Gm20406" 4.32010210856681e-05 "Upregulated"
"Adam17" 4.4039310923556e-05 "Downregulated"
"Psat1" 4.46882672914137e-05 "Downregulated"
"A930003A15Rik" 4.50684563486716e-05 "Upregulated"
"Gm31400" 4.59633605613795e-05 "Upregulated"
"Gm56860" 4.60531386998234e-05 "Upregulated"
"NA.7" NA NA
"Apobec3" 4.68845550744582e-05 "Downregulated"
"Gm71614" 4.7141267412641e-05 "Upregulated"
"Gm74835" 4.73768419653237e-05 "Upregulated"
"Chn2" 4.93981718321799e-05 "Upregulated"
"Pkd1l3" 4.99422370873774e-05 "Upregulated"
"Pira12" 5.0110526496821e-05 "Upregulated"
"Gbgt1" 5.01382416045208e-05 "Downregulated"
"Gabbr2" 5.05923506512775e-05 "Upregulated"
"Coq3" 5.07026004402613e-05 "Downregulated"
"NA.8" NA NA
"Max" 5.16598920854339e-05 "Upregulated"
"Polr1c" 5.1827340720417e-05 "Downregulated"
"Exosc3" 5.18418282142615e-05 "Downregulated"
"Muc5b" 5.19530525338401e-05 "Upregulated"
"Pbld1" 5.24846760203771e-05 "Upregulated"
"Gm10052" 5.46787065681972e-05 "Downregulated"
"Marchf1" 5.62399856718168e-05 "Downregulated"
"E230016M11Rik" 5.65102702151519e-05 "Upregulated"
"Sh3tc2" 5.70173536827206e-05 "Upregulated"
"Smim7" 5.83459041051297e-05 "Upregulated"
"St6gal1" 5.85578412520809e-05 "Upregulated"
"Gm6421" 5.89490294186617e-05 "Upregulated"
"Wfdc3" 5.93393277795286e-05 "Upregulated"
"Slc33a1" 5.98449647081553e-05 "Downregulated"
"Gm61263" 6.01592813691408e-05 "Upregulated"
"Ndufs3" 6.03882474907562e-05 "Downregulated"
"2010004M13Rik" 6.07881364704336e-05 "Upregulated"
"Gm68349" 6.21346989697827e-05 "Upregulated"
"2810030D12Rik" 6.35619446286555e-05 "Upregulated"
"Aida" 6.42786447013747e-05 "Downregulated"
"Gm49975" 6.54943681830152e-05 "Upregulated"
"Etohd2" 6.61516352284965e-05 "Upregulated"
"Hunk" 6.76519670257893e-05 "Upregulated"
"Pde8a" 7.03406392823649e-05 "Upregulated"
"Chchd4" 7.10395730527135e-05 "Downregulated"
"Jagn1" 7.1614038830183e-05 "Downregulated"
"Vezt" 7.19240464522344e-05 "Downregulated"
"Ppm1a" 7.20607945823972e-05 "Upregulated"
"Rassf5" 7.25668713058534e-05 "Upregulated"
"Otud5" 7.39142444309669e-05 "Upregulated"
"Mier2" 7.4046115997589e-05 "Downregulated"
"Lhfpl6" 7.54278004436181e-05 "Upregulated"
"Kcnab1" 7.61188074682218e-05 "Downregulated"
"Gm72479" 7.65841782991039e-05 "Upregulated"
"Oip5os1" 7.88713770669943e-05 "Upregulated"
"Atosb" 8.02145470156842e-05 "Upregulated"
"Gm43914" 8.04805978916226e-05 "Downregulated"
"Dynll2" 8.18359953581223e-05 "Downregulated"
"Mrpl35" 8.19625613001336e-05 "Downregulated"
"Cstdc4" 8.20218730433412e-05 "Upregulated"
"Gm66945" 8.25291311026078e-05 "Upregulated"
"Gm10073" 8.28920206665194e-05 "Upregulated"
"Carns1" 8.28920206665194e-05 "Upregulated"
"Acsl1" 8.31884577881021e-05 "Upregulated"
"Lyrm9" 8.46120827527342e-05 "Upregulated"
"Gm64730" 8.55825961601125e-05 "Upregulated"
"5330438D12Rik" 8.5929903583017e-05 "Upregulated"
"Gm8712" 8.63072970075853e-05 "Downregulated"
"Hprt1" 8.65199445455087e-05 "Downregulated"
"Ring1" 8.75890386400816e-05 "Downregulated"
"E2f4" 9.09433453600923e-05 "Downregulated"
"Nup93" 9.12091929082859e-05 "Downregulated"
"Gm65654" 9.40579156613314e-05 "Upregulated"
"Gm66807" 9.71701745328593e-05 "Upregulated"
"Btnl6" 9.71701745328593e-05 "Downregulated"
"Xpnpep2" 9.79821337681351e-05 "Upregulated"
"Gm75059" 9.87476290339581e-05 "Upregulated"
"Adam9" 0.000101803082413278 "Downregulated"
"Ppargc1b" 0.000101934497000831 "Downregulated"
"Nptn" 0.000102302123461418 "Upregulated"
"Gm56776" 0.000102870924997272 "Downregulated"
"Trbv13-2" 0.000103186514603606 "Upregulated"
"1700099I09Rik" 0.000103265060021365 "Downregulated"
"Ctdsp2-ps" 0.00010390457787534 "Upregulated"
"Bcr" 0.00010443661541966 "Upregulated"
"Snx10" 0.000106318018055015 "Downregulated"
"Gm54052" 0.000106831553753137 "Upregulated"
"Sars2" 0.000107071987380758 "Downregulated"
"Galk2" 0.0001132977799562 "Downregulated"
"Ttc39a" 0.000114880847002645 "Upregulated"
"Rab37" 0.000115651179836906 "Upregulated"
"Atp6-ps" 0.000116681443560089 "Upregulated"
"Rhag" 0.0001179884794855 "Upregulated"
"Srms" 0.000121283527505301 "Upregulated"
"Nqo1" 0.00012221113393728 "Upregulated"
"Gm56768" 0.000125747866396286 "Downregulated"
"Mvb12b" 0.000128451100193419 "Upregulated"
"Gm38414" 0.000128911849434313 "Upregulated"
"Mfsd11" 0.000131454101115245 "Downregulated"
"Rgs9" 0.000132176142104481 "Upregulated"
"Atp5if1" 0.000137741063817269 "Upregulated"
"Unc119" 0.00014553903393103 "Upregulated"
"Gm57185" 0.000145819476714636 "Upregulated"
"B630019A10Rik" 0.000145819476714636 "Upregulated"
"Pknox2" 0.000146142856250241 "Upregulated"
"Gm58959" 0.000146142856250241 "Upregulated"
"Gm75004" 0.000146599515908252 "Upregulated"
"Gm67332" 0.000146995743720784 "Upregulated"
"Gm3150" 0.00014763413184674 "Upregulated"
"Ppfia4" 0.000148838599860358 "Downregulated"
"Tpm2" 0.000150483220612266 "Upregulated"
"Chac2" 0.000151753229887369 "Upregulated"
"Dennd11" 0.00015259351008982 "Upregulated"
"Gm53062" 0.000154624445449508 "Upregulated"
"Tmem51" 0.000155391705398832 "Downregulated"
"Cnpy4" 0.000156522111322079 "Downregulated"
"Gm31897" 0.000158122033073102 "Upregulated"
"Gm32220" 0.000158861962627102 "Upregulated"
"Cadm1" 0.000159164368134085 "Downregulated"
"Pou2f2" 0.000160955477189767 "Downregulated"
"Gm28437" 0.000161507156167433 "Upregulated"
"Rps12" 0.000162523591893434 "Upregulated"
"4933433H22Rik" 0.000163043084499278 "Downregulated"
"Bmpr1a" 0.00016531344201519 "Upregulated"
"Slc25a25" 0.000166807873822425 "Downregulated"
"Ralgps1" 0.000168354363792428 "Upregulated"
"Pdss1" 0.000170406554901491 "Downregulated"
"Gm26740" 0.000172180696829478 "Upregulated"
"Ndufb5" 0.000172630021561878 "Downregulated"
"Gm68058" 0.000172630021561878 "Upregulated"
"Pacc1" 0.000172693986354567 "Downregulated"
"Tep1" 0.000172755351152913 "Downregulated"
"Tmem108" 0.000175064432024045 "Upregulated"
"Gm57169" 0.000179340613129398 "Downregulated"
"Fuom" 0.000179635154360143 "Downregulated"
"Slamf8" 0.000182682307471011 "Downregulated"
"Pik3ip1" 0.000183601945073087 "Upregulated"
"E130307A14Rik" 0.000185411741568908 "Upregulated"
"Ptgs1" 0.000185416200092519 "Upregulated"
"Gm12522" 0.000186208432245027 "Upregulated"
"Gm40892" 0.000186688885674858 "Upregulated"
"Gpbp1" 0.000187360314261888 "Upregulated"
"Gm59169" 0.000190151576439576 "Upregulated"
"Gm61923" 0.000193514026866604 "Upregulated"
"Anxa6" 0.0001947030381864 "Downregulated"
"Gm74438" 0.000194806936573604 "Upregulated"
"Mrpl18" 0.000197413236486831 "Downregulated"
"Stk24" 0.000201274250006043 "Upregulated"
"Tm4sf1" 0.000205734929145741 "Upregulated"
"Map7" 0.000207940689345175 "Upregulated"
"4930542N06Rik" 0.000208258275448795 "Upregulated"
"Llph" 0.000211581996110131 "Downregulated"
"Gm36631" 0.000218228458389963 "Upregulated"
"Mtss1" 0.000218228458389963 "Upregulated"
"1810053B23Rik" 0.000219321958528432 "Upregulated"
"Ifi208" 0.000220397352892135 "Downregulated"
"Gm6034" 0.000220681972369788 "Downregulated"
"Amdhd2" 0.000220761883454201 "Downregulated"
"Gm55276" 0.00022225981243298 "Upregulated"
"Taf15" 0.000223720010814082 "Downregulated"
"Ftl1-ps2" 0.000225381889325945 "Upregulated"
"Gm56517" 0.000226149156955402 "Downregulated"
"Slc37a2" 0.000226589442360478 "Downregulated"
"Ptprcap" 0.000228744103432955 "Downregulated"
"Gm28836" 0.000228794376896068 "Upregulated"
"Gabarap" 0.000233763687544281 "Upregulated"
"Nprl2" 0.000238616147543158 "Downregulated"
"Cars1" 0.000239620716569079 "Downregulated"
"Mgat2" 0.00024019345211155 "Downregulated"
"Igf1r" 0.000240736223916 "Upregulated"
"Gm28661" 0.000242082189145246 "Upregulated"
"4921511I17Rik" 0.000242497005990269 "Upregulated"
"Nt5c3" 0.000243549362158219 "Upregulated"
"NA.9" NA NA
"Scml4" 0.000245068175824206 "Upregulated"
"Gm48139" 0.00024932450733242 "Upregulated"
"Oxct1" 0.000252002682675851 "Downregulated"
"Anp32e" 0.000254725605892707 "Upregulated"
"Fgd6" 0.000257832648544311 "Downregulated"
"Gm5960" 0.000257920433491534 "Downregulated"
"Eogt" 0.000259028228202039 "Downregulated"
"Pdk1" 0.000259333108970869 "Upregulated"
"Gm62271" 0.000259556381537458 "Upregulated"
"Parp16" 0.000261707673991165 "Upregulated"
"Pals2" 0.000263681338895221 "Downregulated"
"Gm29397" 0.000267534233318719 "Upregulated"
"Mzt1" 0.00026776042421422 "Upregulated"
"Gm16124" 0.000268284073091147 "Upregulated"
"Mtss2" 0.000269852484436861 "Upregulated"
"Gm59197" 0.000276364013760929 "Upregulated"
"Abtb3" 0.000278228811547919 "Upregulated"
"Pdcd4" 0.000278228811547919 "Upregulated"
"Apol11b" 0.000281860747486663 "Upregulated"
"Stxbp1" 0.000289238608858566 "Downregulated"
"Bhlhe41" 0.000289524518385497 "Upregulated"
"Jun" 0.000301927441935508 "Downregulated"
"Qsox1" 0.000308001742231411 "Upregulated"
"Gm72261" 0.000318919828632625 "Upregulated"
"BC106179" 0.000318919950262902 "Upregulated"
"Gm14098" 0.000322277816930627 "Upregulated"
"Fdps" 0.000327122398569868 "Upregulated"
"Dhcr7" 0.000327135477579982 "Downregulated"
"Lincred1" 0.000327192070175006 "Upregulated"
"Lmo1" 0.00032818923084822 "Upregulated"
"Ggt1" 0.000329655184789901 "Upregulated"
"Redrum" 0.000332532146837263 "Upregulated"
"Asnsd1" 0.000334266475144568 "Upregulated"
"2810013P06Rik" 0.000335154218372038 "Upregulated"
"Nupr1" 0.000337807777652572 "Downregulated"
"Gm33887" 0.000338843223763583 "Upregulated"
"Frat2" 0.000339004784249864 "Upregulated"
"Hectd4" 0.000339089443637262 "Upregulated"
"Tmem245" 0.000339380668539847 "Upregulated"
"Msra" 0.000340263327919544 "Upregulated"
"Itga6" 0.000343345834482895 "Upregulated"
"Taf6l" 0.000351228098848872 "Downregulated"
"Fam98a" 0.000351430259331268 "Downregulated"
"Calcrl" 0.000352139443177627 "Upregulated"
"Gm13387" 0.000354926181697132 "Upregulated"
"Gm7912" 0.000357218077137753 "Upregulated"
"Ighd" 0.00035968276644567 "Upregulated"
"Tac2" 0.000361266036664929 "Upregulated"
"Tsc22d1" 0.000365017744625186 "Upregulated"
"Pwwp2b" 0.000366376709073611 "Downregulated"
"Gm20605" 0.000366930792376118 "Upregulated"
"Atp5mg" 0.000367079282563374 "Upregulated"
"Smim45" 0.000367079282563374 "Downregulated"
"Rplp1" 0.00036794505261879 "Upregulated"
"Mx2" 0.000371054825586756 "Downregulated"
"Gm66827" 0.000379836581036793 "Upregulated"
"Slc25a43" 0.000380694255970808 "Downregulated"
"Pet100" 0.000383269839793131 "Upregulated"
"Dstn" 0.000387409620744749 "Upregulated"
"Gm42547" 0.000399138404853405 "Downregulated"
"Mcoln2" 0.000400944608976819 "Upregulated"
"Acsl5" 0.000404809432332683 "Downregulated"
"Tmem221" 0.000414104775795186 "Downregulated"
"Rpia" 0.000415067113413092 "Downregulated"
"Zer1" 0.000422331603630413 "Upregulated"
"Gm67192" 0.000422747054262727 "Upregulated"
"Gm36459" 0.000426646501302319 "Upregulated"
"mt-Co3" 0.000427298492226564 "Upregulated"
"Gm68063" 0.000435107677839356 "Upregulated"
"Parp8" 0.000435107677839356 "Downregulated"
"D430040L24Rik" 0.000435478821917542 "Upregulated"
"Mlxipl" 0.000436415391442158 "Upregulated"
"Dync2li1" 0.000436703534473825 "Upregulated"
"Polb" 0.000442499322064701 "Downregulated"
"Lpar2" 0.00044362906487411 "Upregulated"
"Adgra3" 0.00044498445514447 "Upregulated"
"Gm43698" 0.000445012332602417 "Upregulated"
"Zfyve27" 0.000445012332602417 "Upregulated"
"Ctsh" 0.000447333861625305 "Downregulated"
"Gm13431" 0.000452359655857483 "Upregulated"
"Gm11560" 0.000457378002012551 "Upregulated"
"Trim24" 0.000458980973507535 "Upregulated"
"Gm46597" 0.000459907205367497 "Upregulated"
"Gm34894" 0.000461574270989966 "Upregulated"
"Gm57219" 0.000466962475975285 "Upregulated"
"Gm56871" 0.000468308271859141 "Upregulated"
"Dglucy" 0.000468308271859141 "Downregulated"
"Piezo1" 0.000473440151786294 "Downregulated"
"Slc2a3" 0.000473518241797209 "Upregulated"
"Gm57043" 0.000475937516793496 "Upregulated"
"Ndufa3" 0.000476977056468119 "Upregulated"
"Eif4a-ps4" 0.000477474204399678 "Downregulated"
"1700120G11Rik" 0.000477735662012021 "Upregulated"
"Rnf24" 0.000478439016050507 "Upregulated"
"Zfp579" 0.000483615528122093 "Upregulated"
"Gm15459" 0.00048825297632698 "Downregulated"
"Yes1" 0.000499643501036487 "Upregulated"
"Optn" 0.000505667656098389 "Upregulated"
"Nfkbib" 0.000505893396925886 "Downregulated"
"Gpr31b" 0.000506035770814426 "Downregulated"
"Fastkd1" 0.00050772272746343 "Downregulated"
"Chlsn" 0.000516960870069591 "Upregulated"
"Gpr33" 0.000526222210687115 "Downregulated"
"Creb5" 0.000526862029062631 "Downregulated"
"Gm73075" 0.000529529207555022 "Upregulated"
"Zmynd15" 0.000533525779788498 "Downregulated"
"Fam209" 0.000534277594237327 "Upregulated"
"Txnip" 0.000539704345694948 "Upregulated"
"A430005L14Rik" 0.000539704345694948 "Downregulated"
"Runx1t1" 0.000556871762486111 "Upregulated"
"Ighv1-78" 0.000562771270823865 "Upregulated"
"Gm38317" 0.000565912573230231 "Upregulated"
"Gm3699" 0.000569971930759582 "Upregulated"
"1700027J07Rik" 0.000570699508868613 "Upregulated"
"Nfkbie" 0.000574550715511395 "Downregulated"
"Gm56626" 0.000576909785238485 "Upregulated"
"Tbc1d10a" 0.000579554910031474 "Downregulated"
"Ptbp2" 0.000581708573570169 "Upregulated"
"Zfp949" 0.000587231186291214 "Upregulated"
"Gm12481" 0.000588484977401711 "Upregulated"
"Adgrl3" 0.000590903734135584 "Upregulated"
"Slc15a3" 0.000604276144302918 "Downregulated"
"Gm59815" 0.000604360572680307 "Upregulated"
"Gm70223" 0.000606602625925177 "Downregulated"
"Atosa" 0.000609084346345474 "Upregulated"
"Itgb5" 0.000609610606320063 "Upregulated"
"Insr" 0.000612467187201777 "Upregulated"
"Fbxo31" 0.000612467187201777 "Upregulated"
"Espl1" 0.000619852679855788 "Downregulated"
"Gstt2" 0.000621807511132615 "Downregulated"
"Gm33336" 0.000621807511132615 "Upregulated"
"Pld3" 0.000631059028644917 "Upregulated"
"Mis12" 0.000631634458786299 "Downregulated"
"NA.10" NA NA
"Slc35a5" 0.000636011729791651 "Upregulated"
"Gm68250" 0.000637402772913324 "Upregulated"
"Zfp366" 0.000641196816084561 "Downregulated"
"Fubp3" 0.000647029910447572 "Downregulated"
"Gm30648" 0.000657880373855738 "Upregulated"
"Nav2" 0.000670197169775677 "Upregulated"
"Gm37305" 0.00067114863295718 "Upregulated"
"Septin1" 0.00067785738617428 "Upregulated"
"Cd14" 0.000679464202992459 "Upregulated"
"Serping1" 0.000681836336206594 "Downregulated"
"Gm29562" 0.000693169349095012 "Upregulated"
"Kif5a" 0.000697998264983726 "Upregulated"
"Gm33315" 0.000697998264983726 "Upregulated"
"Rnf122" 0.000699838272318519 "Upregulated"
"Gchfr" 0.000702126209955553 "Upregulated"
"Serinc3" 0.000703009782398835 "Upregulated"
"1600020E01Rik" 0.000705728976611561 "Upregulated"
"Tcaf1" 0.000712471603597731 "Upregulated"
"Sp140l2" 0.000716269052390241 "Downregulated"
"Mpig6b" 0.000716897761435687 "Upregulated"
"Dnaaf8" 0.000723739262712421 "Upregulated"
"Gm59093" 0.000728020758723707 "Downregulated"
"4930474N09Rik" 0.000733695739818222 "Upregulated"
"Gm73987" 0.000734501724393332 "Upregulated"
"Il9r" 0.000749668696354371 "Upregulated"
"Tnfsf15" 0.000756786671729142 "Downregulated"
"Sh3bp2" 0.000762416498772023 "Downregulated"
"AI480526" 0.000769279859570899 "Upregulated"
"E030022I16Rik" 0.000770700668762489 "Upregulated"
"Gm34162" 0.000771263607332403 "Downregulated"
"Slc12a3" 0.000772254213982576 "Upregulated"
"Gm62326" 0.000803433599983467 "Downregulated"
"Klhl14" 0.000807249996643563 "Upregulated"
"C330026H20Rik" 0.000816233529081862 "Upregulated"
"Anxa3" 0.000822143308364366 "Upregulated"
"2510009E07Rik" 0.000822143308364366 "Upregulated"
"Hdgfl3" 0.000822549420455166 "Upregulated"
"Gm57050" 0.000827794532152952 "Upregulated"
"Enc1" 0.000831324262945054 "Downregulated"
"Pex26" 0.000833333529209828 "Downregulated"
"Rab44" 0.000833941408611101 "Upregulated"
"Spsb2" 0.000848035608675084 "Downregulated"
"Ano10" 0.000854013421848114 "Upregulated"
"Kcnrg" 0.000870435336767167 "Upregulated"
"Gm48357" 0.00088904279507291 "Upregulated"
"Hhipl1" 0.00088904279507291 "Upregulated"
"Tincr" 0.00088904279507291 "Upregulated"
"Lrrc32" 0.000889426832922079 "Upregulated"
"Muc3a" 0.000889602533074621 "Upregulated"
"Gm15056" 0.00088993945921271 "Downregulated"
"A930005H10Rik" 0.000891282949058158 "Upregulated"
"Rab30" 0.000892305074279603 "Upregulated"
"Rnf180" 0.000895419277919095 "Upregulated"
"Gm8524" 0.000898469953544037 "Upregulated"
"Gm63777" 0.000907088324299017 "Upregulated"
"Gm12596" 0.000908617147211459 "Upregulated"
"Gm57400" 0.000917513288006194 "Upregulated"
"Septin5" 0.000917513288006194 "Upregulated"
"Slc25a13" 0.000936609236351674 "Downregulated"
"Gm62517" 0.000936609236351674 "Upregulated"
"Kirrel1" 0.000937399784199769 "Upregulated"
"Smad4" 0.000957212020706527 "Upregulated"
"Rchy1" 0.00096480128143097 "Upregulated"
"Lyz2" 0.00096633250004067 "Downregulated"
"C030034L19Rik" 0.000994122019239735 "Upregulated"
"Gm10419" 0.00100035199232117 "Upregulated"
"C330013E15Rik" 0.00100595867117438 "Upregulated"
"Gm10384" 0.00101425771998722 "Upregulated"
"D5Ertd605e" 0.00101430835937459 "Upregulated"
"Ampd1" 0.00101530643073869 "Upregulated"
"Ighv2-5" 0.00103624518877406 "Upregulated"
"Slit3" 0.00104600025200544 "Upregulated"
"Gm33074" 0.00105064090887805 "Upregulated"
"Gm41248" 0.00105538552207712 "Upregulated"
"Fh1" 0.00105669862323086 "Downregulated"
"2510016D11Rik" 0.00105669862323086 "Upregulated"
"Azin2" 0.00106914833280663 "Upregulated"
"Gm40411" 0.00107080495728922 "Upregulated"
"Zfp287" 0.00107174095260652 "Downregulated"
"Tox" 0.00107722668405976 "Upregulated"
"Gpatch4" 0.00110344439314169 "Downregulated"
"1700047M11Rik" 0.00111569600474751 "Upregulated"
"Lrrc75b" 0.00112502461774642 "Upregulated"
"Gm74862" 0.00113074256141712 "Upregulated"
"Med12l" 0.00113641417979126 "Upregulated"
"Gm41043" 0.00113641417979126 "Upregulated"
"Rundc3a" 0.00115082521177467 "Upregulated"
"Tpst1" 0.00115481561420925 "Downregulated"
"Taco1" 0.00116455450299669 "Downregulated"
"Rbm19" 0.00116722802924554 "Downregulated"
"Anpep" 0.0011704278189518 "Downregulated"
"Gm2895" 0.00119327740282492 "Upregulated"
"Gm57033" 0.00119355673130532 "Upregulated"
"Gm64546" 0.00119794155330523 "Downregulated"
"Serpinb7" 0.00119872633431584 "Downregulated"
"Borcs8" 0.00124158915140373 "Upregulated"
"Meg3" 0.00125788358393035 "Upregulated"
"Ifi211" 0.00126430041071306 "Downregulated"
"Slc6a19" 0.00129955270945583 "Upregulated"
"Gm17767" 0.0013034137604265 "Downregulated"
"Qng1" 0.001309620939517 "Downregulated"
"Ighv11-2" 0.00131065826254234 "Upregulated"
"Gm28857" 0.00132152394318206 "Upregulated"
"Atg12" 0.0013247938459512 "Upregulated"
"Gm56783" 0.00137141491874643 "Upregulated"
"9530082P21Rik" 0.00137656518063052 "Downregulated"
"Wdr55" 0.00138032010623036 "Downregulated"
"Gm39000" 0.00138164266428649 "Upregulated"
"Gm65225" 0.00139036886857389 "Downregulated"
"Gm60685" 0.00139036886857389 "Upregulated"
"Ankrd63" 0.0013915345459715 "Upregulated"
"Gm47015" 0.0013915345459715 "Upregulated"
"Gm64216" 0.0013915345459715 "Upregulated"
"Rplp2" 0.00143342123984051 "Upregulated"
"Smarcb1" 0.00143855587070439 "Downregulated"
"Msto1" 0.00144553717531448 "Downregulated"
"Vcf1" 0.00145733561396907 "Upregulated"
"Kifc5b" 0.00146144431339189 "Downregulated"
"Glns-ps1" 0.00146269059022815 "Upregulated"
"Platr7" 0.00146646225088916 "Upregulated"
"Gm9974" 0.00147252138845076 "Upregulated"
"Gm63309" 0.00147601917809792 "Upregulated"
"Zfta" 0.00147601917809792 "Upregulated"
"NA.11" NA NA
"Spry1" 0.00148362847380304 "Upregulated"
"Usp28" 0.00148501434885466 "Upregulated"
"Gm13340" 0.00149635254664272 "Upregulated"
"Chil3" 0.00150256633002505 "Downregulated"
"Gm33327" 0.00150338475410832 "Upregulated"
"Mir6381" 0.0015049000265619 "Downregulated"
"Gm71760" 0.0015049000265619 "Upregulated"
"Ighm" 0.00151843871399031 "Upregulated"
"Zfp429" 0.00152800095592227 "Downregulated"
"C1galt1c1" 0.0015310574086715 "Downregulated"
"2610035D17Rik" 0.0015310574086715 "Upregulated"
"Pgap2" 0.00155064295298785 "Downregulated"
"Gm36931" 0.00155718074334103 "Upregulated"
"Gsn" 0.00156444096184166 "Upregulated"
"Gpr83" 0.00158321154284706 "Upregulated"
"Gm6212" 0.00159925255948145 "Upregulated"
"Zc3h6" 0.00160063777785656 "Upregulated"
"Slc66a1" 0.00161883467540848 "Downregulated"
"Lcmt2" 0.00162405633075814 "Downregulated"
"Tcea2" 0.00163801686184124 "Upregulated"
"Gm30679" 0.00164936202057197 "Upregulated"
"Gm14303" 0.00166050047333757 "Upregulated"
"Dhx58" 0.00166050047333757 "Downregulated"
"Plaat3" 0.00166274511263659 "Upregulated"
"Cd63" 0.00166779767839533 "Upregulated"
"Prr7" 0.00169488672812609 "Upregulated"
"Mtrf1l" 0.00169635337109038 "Downregulated"
"Cdhr4" 0.00169635337109038 "Upregulated"
"Phb1" 0.00170804632374307 "Downregulated"
"Cmc1" 0.00172593390297086 "Downregulated"
"Trim23" 0.00173530735318397 "Upregulated"
"Gask1b" 0.00175052850529585 "Upregulated"
"Thsd4" 0.00175052850529585 "Upregulated"
"Glo1" 0.00176294084973175 "Upregulated"
"Tie1" 0.0017895032283268 "Upregulated"
"Lmo2" 0.00179901973453563 "Upregulated"
"Gm7897" 0.0017994886515668 "Upregulated"
"Slc27a6" 0.00181282500014005 "Upregulated"
"Gm59028" 0.00181282500014005 "Upregulated"
"Dop1b" 0.00182951083477425 "Upregulated"
"Cd151" 0.0018389896340675 "Upregulated"
"Mcub" 0.00185656725618309 "Downregulated"
"Gm19951" 0.00186452188869397 "Upregulated"
"Wfikkn1" 0.00188332727323267 "Upregulated"
"Atg4a-ps" 0.00189176170800784 "Upregulated"
"Robo1" 0.00189241620717581 "Upregulated"
"Gm50230" 0.00191077061759754 "Upregulated"
"Map1s" 0.00191885004970041 "Downregulated"
"Klrc2" 0.0019244889748862 "Upregulated"
"Trappc2b" 0.0019268025429068 "Downregulated"
"Gm8276" 0.00194687228095382 "Upregulated"
"Gm9531" 0.00194873349479744 "Downregulated"
"Gpr89" 0.00195266529644568 "Downregulated"
