"padj" "direction"
"Reep6" 3.75653318029632e-14 "Upregulated"
"Fam220-ps" 1.03018961151614e-13 "Upregulated"
"Gm31828" 1.07558472653321e-13 "Upregulated"
"Sptb" 1.61375485828672e-13 "Upregulated"
"Carhsp1" 1.9850842335409e-13 "Upregulated"
"Alox5" 2.30673076006584e-13 "Upregulated"
"Btnl10" 3.1689447868541e-13 "Upregulated"
"Tifa" 3.2045357726911e-13 "Downregulated"
"Lap3" 3.20827768958873e-13 "Downregulated"
"Trim10" 3.29807693401177e-13 "Upregulated"
"Sting1" 3.48687047868983e-13 "Downregulated"
"Clec4a1" 4.43622335545771e-13 "Downregulated"
"Gm71331" 5.77040918131205e-13 "Upregulated"
"Prkx" 5.91974637645264e-13 "Downregulated"
"Ly6a" 7.14430297632861e-13 "Downregulated"
"Hebp1" 7.65012677201989e-13 "Upregulated"
"Gm73808" 8.52076011442335e-13 "Upregulated"
"Hbq1a" 9.30425742912511e-13 "Upregulated"
"Htra3" 9.90263270924247e-13 "Upregulated"
"Gm60121" 1.02872913699022e-12 "Upregulated"
"Cxxc5" 1.10825887255321e-12 "Upregulated"
"Ccdc92b" 1.61103983791436e-12 "Upregulated"
"Plac8" 1.81683541020207e-12 "Downregulated"
"Cyria" 1.97629497910781e-12 "Downregulated"
"Gm58964" 2.29744777130714e-12 "Upregulated"
"Gm16437" 2.38140944366277e-12 "Upregulated"
"Ccl6" 2.55550180719335e-12 "Upregulated"
"Prm1" 2.81578746045684e-12 "Downregulated"
"Stx4a" 2.83353845455307e-12 "Downregulated"
"Myof" 2.88999747929999e-12 "Downregulated"
"Eeig2" 2.9646239304696e-12 "Downregulated"
"Gm65756" 3.61199640863283e-12 "Upregulated"
"Calcoco1" 4.6801020624831e-12 "Upregulated"
"Spns2" 4.75069350527915e-12 "Upregulated"
"Tmem229b" 5.63822958434318e-12 "Downregulated"
"Rpl41" 6.234773433306e-12 "Upregulated"
"Gm57113" 6.33367809132349e-12 "Upregulated"
"Plin2" 8.77267321395345e-12 "Downregulated"
"Uba52rt" 1.0443722866291e-11 "Upregulated"
"Acp3" 1.11438116271e-11 "Upregulated"
"Gbp4" 1.22142041742375e-11 "Downregulated"
"Cfap119" 1.23511856413842e-11 "Upregulated"
"Mmp12" 1.25032899055433e-11 "Upregulated"
"Slfnlnc" 1.35257519546389e-11 "Upregulated"
"Radx" 1.47270746225522e-11 "Downregulated"
"Gm35065" 1.50547103210937e-11 "Upregulated"
"Reln" 1.54118177481194e-11 "Upregulated"
"Rnf213" 1.78248502729608e-11 "Downregulated"
"Oaz1-ps" 2.06087691708248e-11 "Upregulated"
"Naa25" 2.35779356107898e-11 "Downregulated"
"A230059L01Rik" 2.96364492041889e-11 "Upregulated"
"NA" NA NA
"Rflnb" 3.32371040997267e-11 "Upregulated"
"Gm10244" 3.94502693513356e-11 "Upregulated"
"Gm57156" 4.03540272351869e-11 "Upregulated"
"Gm9791" 4.04440734405158e-11 "Upregulated"
"Dtx2" 4.65356987622431e-11 "Downregulated"
"Rfk" 5.72597659666526e-11 "Upregulated"
"Gclm" 5.75684799376497e-11 "Upregulated"
"1700023H06Rik" 5.76691058984748e-11 "Upregulated"
"Aff3" 5.92350102038326e-11 "Upregulated"
"Gm5785" 5.939888884201e-11 "Upregulated"
"Gm57398" 6.59233404469925e-11 "Upregulated"
"NA.1" NA NA
"Samd11" 7.49299329463838e-11 "Upregulated"
"Arhgef37" 7.53328121757236e-11 "Downregulated"
"H2-Aa" 7.89629954349644e-11 "Downregulated"
"Pomp" 1.11332710478785e-10 "Downregulated"
"Psen2" 1.33707803254774e-10 "Downregulated"
"Gm56742" 1.44244000754113e-10 "Upregulated"
"Gm29933" 1.59499239163593e-10 "Upregulated"
"Casp7" 1.64206324288276e-10 "Downregulated"
"Rgmb" 1.67273530139523e-10 "Downregulated"
"Slc6a9" 1.75026458558817e-10 "Upregulated"
"D17H6S56E-5" 1.82116417501923e-10 "Downregulated"
"Htr2a" 1.91804434810075e-10 "Upregulated"
"Cd79b" 2.40396805658602e-10 "Upregulated"
"Ftl1" 2.43846691345674e-10 "Upregulated"
"Fcgr1" 2.45562627623721e-10 "Downregulated"
"Rnf20" 2.47846544118081e-10 "Upregulated"
"Gm44442" 2.57762260278628e-10 "Upregulated"
"Prdx2-ps1" 2.83644593382627e-10 "Upregulated"
"Cux1" 3.44654310995006e-10 "Upregulated"
"Psma4" 3.84036149520698e-10 "Downregulated"
"Gm10736" 3.86100381432417e-10 "Upregulated"
"Nadk2" 3.86100381432417e-10 "Upregulated"
"Gm16793" 4.90819844822273e-10 "Upregulated"
"Nfe2l1" 4.92143788737948e-10 "Downregulated"
"Mgst3" 6.28986000037463e-10 "Upregulated"
"Gm70421" 6.37406767947492e-10 "Upregulated"
"Slamf7" 6.96482538585597e-10 "Downregulated"
"Cstdc5" 7.39080073314916e-10 "Upregulated"
"Nlrp1b" 7.71811040187155e-10 "Downregulated"
"Fbxo7" 8.06713993386549e-10 "Upregulated"
"Cd55" 1.08376073021529e-09 "Upregulated"
"Gm57427" 1.26956363626051e-09 "Upregulated"
"Gm74826" 1.33693002988371e-09 "Upregulated"
"Mmel1" 1.4619389198752e-09 "Upregulated"
"Gm71032" 1.52467366986478e-09 "Upregulated"
"Selenok" 1.72947288804878e-09 "Upregulated"
"Gm15989" 1.81013015506909e-09 "Upregulated"
"Gpr137b" 1.8147877542376e-09 "Upregulated"
"Ggta1" 1.88636067777154e-09 "Downregulated"
"4930426D05Rik" 2.37446015040681e-09 "Upregulated"
"Gm42528" 2.82239633363318e-09 "Upregulated"
"Psmd7" 3.17175974444066e-09 "Downregulated"
"Gm33885" 3.21248804966192e-09 "Upregulated"
"Krt222" 3.56444056992469e-09 "Upregulated"
"Gm46515" 3.70355588321687e-09 "Upregulated"
"Gm53544" 3.71354008030197e-09 "Upregulated"
"Tprg1l" 3.7518220145751e-09 "Upregulated"
"Mettl21a" 3.7758226756301e-09 "Downregulated"
"Gm73718" 4.21360698945349e-09 "Upregulated"
"Samd4" 4.43673548474178e-09 "Upregulated"
"Gm34938" 4.71522499593771e-09 "Upregulated"
"Ly9" 6.04129021597484e-09 "Downregulated"
"Psmf1" 6.73094933954248e-09 "Upregulated"
"Tut7" 6.91486418526849e-09 "Upregulated"
"Gm73394" 7.30250761896044e-09 "Upregulated"
"Ahsp" 7.59645771613074e-09 "Upregulated"
"Dcaf6" 8.17230277804371e-09 "Upregulated"
"Batf" 8.17230277804371e-09 "Downregulated"
"Bambi" 8.5408793959881e-09 "Downregulated"
"Siglec1" 9.40783558754642e-09 "Downregulated"
"Gm10603" 9.92643099977361e-09 "Upregulated"
"Gm56536" 9.93938458869554e-09 "Upregulated"
"Mettl27" 1.08021011375472e-08 "Upregulated"
"Reps2" 1.08592461155316e-08 "Upregulated"
"Gm48161" 1.14600951398221e-08 "Upregulated"
"Gm56866" 1.18340815253974e-08 "Upregulated"
"Gm61871" 1.26328333437282e-08 "Upregulated"
"Arl2bp" 1.41703435193223e-08 "Upregulated"
"Trim58" 1.48518809452189e-08 "Upregulated"
"Gm31619" 1.53693413500058e-08 "Upregulated"
"Gm32370" 1.53693413500058e-08 "Upregulated"
"Ifi213" 1.54816234933205e-08 "Downregulated"
"2600006K01Rik" 1.60127772626808e-08 "Upregulated"
"Upp1" 1.60999778872184e-08 "Downregulated"
"Dennd4a" 1.68585155287107e-08 "Upregulated"
"Gm57805" 1.85995221170857e-08 "Upregulated"
"Gm60833" 1.90309259391472e-08 "Upregulated"
"Cabp4" 2.11535336773732e-08 "Downregulated"
"Kars1" 2.1275281278167e-08 "Downregulated"
"AA388235" 2.55156445765666e-08 "Upregulated"
"Gm29216" 2.58387934236029e-08 "Upregulated"
"Gm15518" 2.78158523333946e-08 "Upregulated"
"Slc23a1" 2.83542272100003e-08 "Upregulated"
"Gm64262" 2.99351997891391e-08 "Upregulated"
"Lcor" 3.15875076132516e-08 "Upregulated"
"Alox15" 3.22123791054749e-08 "Upregulated"
"Gm70122" 3.3956397722313e-08 "Upregulated"
"Il18" 3.91769886715753e-08 "Downregulated"
"Tpt1" 4.26964431705868e-08 "Upregulated"
"mt-Rnr1" 4.26964431705868e-08 "Upregulated"
"Afdn" 4.66340004124509e-08 "Upregulated"
"Wbp2" 4.73697489484086e-08 "Upregulated"
"Marchf5" 4.94382284565897e-08 "Upregulated"
"Gm71515" 5.49595493284772e-08 "Upregulated"
"Zcchc24" 5.56848237537791e-08 "Downregulated"
"Gm57173" 5.70420853998522e-08 "Upregulated"
"Kdm7a" 5.74758336419524e-08 "Upregulated"
"Gm71785" 5.82797597827481e-08 "Upregulated"
"Anxa2r1" 5.82797597827481e-08 "Downregulated"
"Gm31612" 5.90464941331114e-08 "Upregulated"
"Tns3" 6.14473204643633e-08 "Downregulated"
"D630024D03Rik" 6.27107681190328e-08 "Upregulated"
"Klf7" 6.71515043383764e-08 "Upregulated"
"NA.2" NA NA
